1679714534.646022,[[-1.721918  3.168649 -4.290055]]
1679714534.649952,[[-2.718193  2.49093  -3.91434 ]]
1679714534.653933,[[-3.381067  2.422712 -3.457454]]
1679714534.657903,[[-4.047711  2.136974 -2.891527]]
1679714534.661843,[[-4.461993  1.627727 -2.582561]]
1679714534.66585,[[-4.481531  1.240604 -2.607022]]
1679714534.669874,[[-4.42178   1.141232 -2.661099]]
1679714534.673882,[[-4.312342  1.180909 -2.927108]]
1679714534.677896,[[-4.100108  1.095978 -3.386021]]
1679714534.68192,[[-3.731442  0.818654 -3.889195]]
1679714534.685891,[[-3.120171  0.603897 -4.240698]]
1679714534.68986,[[-2.483346  0.540118 -4.39545 ]]
1679714534.693883,[[-1.814074  0.396666 -4.588507]]
1679714534.697913,[[-1.262108  0.113313 -4.825702]]
1679714534.701889,[[-7.396060e-01 -3.427000e-03 -5.028044e+00]]
1679714534.705909,[[-0.359708 -0.254177 -5.161699]]
1679714534.709909,[[ 0.009847 -0.656941 -5.124829]]
1679714534.713932,[[ 0.417947 -1.104908 -4.9794  ]]
1679714534.717969,[[ 0.83053  -1.376989 -4.670865]]
1679714534.721886,[[ 1.21793  -1.643484 -4.337956]]
1679714534.725933,[[ 1.506547 -1.948582 -4.148394]]
1679714534.730032,[[ 1.741759 -2.014888 -4.196782]]
1679714534.733922,[[ 1.719978 -2.217508 -4.13167 ]]
1679714534.73794,[[ 1.739816 -2.115545 -4.287586]]
1679714534.741936,[[ 1.616814 -1.955107 -4.297844]]
1679714534.745986,[[ 1.531512 -2.055504 -4.123344]]
1679714534.75077,[[ 1.461608 -2.283271 -4.057376]]
1679714534.753947,[[ 1.368296 -2.1638   -4.26501 ]]
1679714534.758031,[[ 1.198997 -1.755181 -4.219301]]
1679714534.761953,[[ 1.045216 -1.822985 -4.150549]]
1679714534.765996,[[ 0.862099 -1.808142 -4.340923]]
1679714534.770037,[[ 0.65671  -1.56639  -4.324095]]
1679714534.774098,[[ 0.437796 -1.562709 -4.369121]]
1679714534.777996,[[ 0.262048 -1.326641 -4.306682]]
1679714534.782042,[[-0.009935 -1.283527 -4.109927]]
1679714534.785959,[[-0.330677 -1.449926 -4.060117]]
1679714534.789973,[[-0.697094 -1.360287 -4.210536]]
1679714534.794066,[[-1.244158 -1.132069 -4.521374]]
1679714534.798182,[[-1.803453 -0.939781 -4.855191]]
1679714534.803036,[[-2.242218 -0.54799  -5.191907]]
1679714534.806058,[[-2.440407 -0.483471 -5.186071]]
1679714534.810133,[[-2.592214 -0.641053 -5.268803]]
1679714534.813981,[[-2.656175 -0.639927 -5.368514]]
1679714534.817985,[[-2.798445 -0.527006 -5.491349]]
1679714534.822013,[[-2.747729 -0.478337 -5.617823]]
1679714534.826008,[[-2.708536 -0.754862 -5.621948]]
1679714534.82999,[[-2.54762  -0.868157 -5.768766]]
1679714534.834108,[[-2.515651 -0.391598 -6.000781]]
1679714534.838113,[[-2.588511  0.043654 -5.906687]]
1679714534.842039,[[-2.513717 -0.316268 -5.7634  ]]
1679714534.846105,[[-2.167743 -0.54701  -5.731887]]
1679714534.850037,[[-1.837387 -0.420279 -5.455475]]
1679714534.854021,[[-1.546917 -0.379151 -5.351788]]
1679714534.858033,[[-1.202596 -0.623217 -5.119439]]
1679714534.862045,[[-0.843701 -0.849195 -5.094136]]
1679714534.866068,[[-0.426372 -0.857138 -4.81406 ]]
1679714534.870045,[[ 0.070294 -0.856332 -4.485315]]
1679714534.874104,[[ 0.614411 -0.964232 -4.229845]]
1679714534.878077,[[ 1.154612 -0.689278 -4.112897]]
1679714534.8821,[[ 1.503593 -0.653595 -3.949584]]
1679714534.886117,[[ 1.867294 -0.746455 -3.973843]]
1679714534.890192,[[ 2.122505 -0.654507 -4.104941]]
1679714534.894057,[[ 2.211191 -0.275979 -4.262228]]
1679714534.898086,[[ 2.059069 -0.109784 -4.425445]]
1679714534.902102,[[ 1.809226  0.060618 -4.718081]]
1679714534.906091,[[ 1.474794  0.162812 -4.892466]]
1679714534.910079,[[ 1.023338  0.20278  -5.077703]]
1679714534.914065,[[ 0.541747  0.231923 -5.353112]]
1679714534.918107,[[-0.066779  0.25388  -5.639099]]
1679714534.922132,[[-0.548064  0.45244  -5.847753]]
1679714534.926168,[[-0.928276  0.425328 -5.827287]]
1679714534.930644,[[-0.954555  0.290735 -5.728918]]
1679714534.934196,[[-0.872104  0.276705 -5.603528]]
1679714534.938134,[[-0.595532  0.327091 -5.31524 ]]
1679714534.942123,[[-0.184296  0.10709  -5.124526]]
1679714534.946239,[[ 0.458573 -0.288427 -4.734006]]
1679714534.950144,[[ 1.25551  -0.500013 -4.577018]]
1679714534.954244,[[ 2.059461 -0.547253 -4.302778]]
1679714534.958344,[[ 2.792423 -0.680644 -4.146232]]
1679714534.962233,[[ 3.59585  -0.628788 -4.087046]]
1679714534.966125,[[ 4.158716 -0.399109 -4.002631]]
1679714534.970223,[[ 4.6758   -0.619802 -3.660978]]
1679714534.974275,[[ 5.142801 -1.377079 -3.759498]]
1679714534.978201,[[ 5.577883 -1.430626 -4.102084]]
1679714534.982248,[[ 5.690143 -0.86203  -4.453929]]
1679714534.9862,[[ 5.397827 -0.682012 -4.712759]]
1679714534.990201,[[ 5.268722 -0.602582 -5.122175]]
1679714534.994192,[[ 4.980763 -0.478665 -5.521041]]
1679714534.998171,[[ 4.533247 -0.186492 -5.761437]]
1679714535.002239,[[ 3.928218  0.062207 -5.907376]]
1679714535.006275,[[ 3.162    -0.125091 -5.977683]]
1679714535.010183,[[ 2.590065 -0.443464 -6.131656]]
1679714535.014187,[[ 2.002471 -0.818295 -6.153423]]
1679714535.018169,[[ 1.556833 -0.994994 -6.33771 ]]
1679714535.022154,[[ 1.111459 -0.81666  -6.684223]]
1679714535.026174,[[ 0.585616 -0.474337 -7.101616]]
1679714535.030237,[[ 0.110731  0.04733  -7.545717]]
1679714535.034152,[[-0.1786    0.343584 -7.657297]]
1679714535.038154,[[-0.311641  0.49121  -7.475365]]
1679714535.042191,[[-0.35217   0.27738  -7.087348]]
1679714535.046161,[[-0.338998  0.288993 -6.816891]]
1679714535.050169,[[-0.325069  0.320127 -6.620576]]
1679714535.054204,[[-0.41726   0.523635 -6.568791]]
1679714535.058191,[[-0.301404  0.582377 -6.262803]]
1679714535.062271,[[-0.118909  0.133768 -5.782667]]
1679714535.066166,[[ 0.347571 -0.200813 -5.237524]]
1679714535.070167,[[ 0.712743 -0.080029 -4.949153]]
1679714535.074208,[[ 0.921993  0.11345  -4.698345]]
1679714535.07817,[[ 1.145033  0.287715 -4.853384]]
1679714535.082213,[[ 1.30272   0.461894 -5.092363]]
1679714535.086229,[[ 1.40879   0.901216 -5.429621]]
1679714535.090373,[[ 1.241188  1.288769 -5.776588]]
1679714535.094282,[[ 0.961061  1.635482 -6.182297]]
