1679714534.64803,"[[-408.9399266  -645.67267097  891.2116608  -234.09555559 -278.76181994
   918.62051415 -343.11814025 -125.5654735   629.63010863 -609.90807044
   -80.77900478  610.78387762    0.            0.            0.
  -638.83817061  -54.89461058  658.29862812 -634.09870474  -78.32997079
   685.37999388]]"
1679714534.65167,"[[-408.90719242 -645.74217983  891.1431411  -234.21794535 -278.66744552
   918.51306939 -343.33639974 -125.66368769  629.53614501 -610.12767776
   -80.81075805  610.65426314    0.            0.            0.
  -638.82689819  -54.90006985  658.36133168 -634.16146057  -78.33938639
   685.29794323]]"
1679714534.655525,"[[-408.83711596 -645.75291516  891.11052509 -234.37817477 -278.67100263
   918.48935127 -343.49618224 -125.79334628  629.47198695 -610.31013037
   -80.76265951  610.54619743    0.            0.            0.
  -638.871426    -54.87348601  658.29094032 -634.22866465  -78.26023504
   685.29443914]]"
1679714534.659493,"[[-408.81197395 -645.76907137  891.10173854 -234.46255644 -278.57624093
   918.40973737 -343.68526804 -125.9228317   629.37940911 -610.46706988
   -80.65212098  610.5592187     0.            0.            0.
  -639.00336114  -54.72626804  658.41796314 -634.25270984  -78.23195024
   685.26072279]]"
1679714534.663649,"[[-408.77830739 -645.78432429  891.08740199 -234.58173819 -278.48555415
   918.28924853 -343.95222788 -126.03499432  629.26367168 -610.51451529
   -80.53905924  610.51771845    0.            0.            0.
  -638.94051172  -54.83450229  658.24032074 -634.25166976  -78.14939004
   685.31178321]]"
1679714534.667627,"[[-408.73362858 -645.77840554  891.070035   -234.61244465 -278.37409629
   918.18967082 -344.04401687 -126.09207625  629.15082198 -610.61716489
   -80.44972414  610.59385598    0.            0.            0.
  -638.8755524   -54.78711577  658.30446103 -634.21308979  -78.0390357
   685.37855022]]"
1679714534.672573,"[[-408.72214043 -645.79732937  891.07527603 -234.66032176 -278.2535589
   918.12887292 -344.13995702 -126.17044001  629.01742314 -610.5446946
   -80.31123351  610.56904952    0.            0.            0.
  -638.93349676  -54.47416572  658.5978019  -634.2159571   -77.90827505
   685.48515827]]"
1679714534.675616,"[[-408.7110934  -645.75799233  891.11327069 -234.5963352  -278.21404796
   918.07289249 -344.19758246 -126.15228319  628.93174034 -610.64303022
   -80.2306439   610.73420352    0.            0.            0.
  -639.14742068  -53.89849892  659.16069921 -634.16402638  -77.71258642
   685.6639698 ]]"
1679714534.679542,"[[-408.69868265 -645.77501556  891.15981986 -234.53164024 -278.12567899
   918.0289615  -344.12606508 -126.06017539  628.91176783 -610.58134016
   -80.06318698  610.86376206    0.            0.            0.
  -639.07532111  -53.8534577   659.20814814 -634.12629446  -77.52541209
   685.96369089]]"
1679714534.683405,"[[-408.74543582 -645.7695698   891.12274597 -234.73318861 -278.09192129
   917.96656904 -344.00676176 -125.92357191  628.88931841 -610.49154671
   -79.97375085  611.05577125    0.            0.            0.
  -639.15664753  -53.55276759  659.61598986 -634.05585132  -77.31021397
   686.29763838]]"
1679714534.687379,"[[-408.73229694 -645.79749635  891.10951945 -234.73292662 -278.00907313
   917.91900236 -343.8480152  -125.78297729  628.8616449  -610.41383484
   -79.92144976  611.26245677    0.            0.            0.
  -638.62440105  -53.8546107   659.53916941 -633.93929745  -77.1578796
   686.56379977]]"
1679714534.691582,"[[-408.77796172 -645.73268276  891.16973505 -234.76637246 -277.93506182
   917.91746472 -343.59113968 -125.74304984  628.77695884 -610.32814033
   -79.73962551  611.69328625    0.            0.            0.
  -638.40318467  -53.66600922  659.97781299 -633.75122157  -77.06338443
   686.81572374]]"
1679714534.695546,"[[-408.75291733 -645.71865708  891.12800927 -234.66204875 -277.90074228
   917.91650627 -343.40018465 -125.63699048  628.72514135 -610.14264985
   -79.55625999  612.05820497    0.            0.            0.
  -638.13707394  -53.55482457  660.25078783 -633.5538088   -76.95519249
   687.0489735 ]]"
1679714534.699635,"[[-408.77514523 -645.71452387  891.17633328 -234.56688567 -277.87825075
   917.8759454  -343.14557606 -125.3856445   628.77088658 -609.94197744
   -79.38992263  612.34260882    0.            0.            0.
  -638.12388802  -53.06302451  660.90544229 -633.38741466  -76.81374036
   687.3926471 ]]"
1679714534.704136,"[[-408.83745318 -645.69349781  891.24971621 -234.4959859  -277.86481999
   917.89981664 -343.00839783 -125.23428752  628.80649187 -609.73387022
   -78.88368657  612.77197817 -609.12799844 -109.7417904   675.49070018
  -637.98578129  -53.05352221  661.15512461 -633.22020192  -76.61457971
   687.63347281]]"
1679714534.707496,"[[-408.88800709 -645.64698273  891.26554495 -234.12900284 -277.83700999
   917.96279077 -342.90922863 -125.17483787  628.78788739 -609.6232316
   -78.6313409   613.14038774 -608.69781578 -109.54463392  675.51135745
  -637.7811454   -53.01965485  661.51392737 -633.1398625   -76.40355691
   687.9016653 ]]"
1679714534.749491,"[[-408.92462331 -645.6428661   891.29512263 -233.95290864 -277.82985207
   917.94164628 -342.81674928 -125.01142184  628.84157393 -609.58857838
   -78.4621415   613.42361563 -608.28456346 -109.47715764  676.02440398
  -637.52649537  -53.11918575  661.34183845 -633.06332188  -76.21091987
   688.07613991]]"
1679714534.750005,"[[-408.97339266 -645.57582096  891.27394568 -233.82740168 -277.7783243
   917.99035964 -342.65836803 -124.81208416  628.9941361  -609.45751014
   -78.04393692  613.73377415 -608.12957139 -109.54406912  676.21949793
  -637.53064747  -53.11250407  661.41957075 -632.9920469   -75.98926899
   688.27830306]]"
