1679714214.668263,[[-0.272104  0.256195  1.590873]]
1679714214.672199,[[-0.457285  0.116585  1.513525]]
1679714214.676628,[[-0.580138  0.164329  1.502201]]
1679714214.680159,[[-0.721234  0.177087  1.490793]]
1679714214.684125,[[-0.92897   0.139352  1.542555]]
1679714214.689634,[[-1.08821  -0.039947  1.573268]]
1679714214.692133,[[-1.369078  0.010264  1.478747]]
1679714214.696108,[[-1.538714  0.077579  1.361692]]
1679714214.700074,[[-1.66113   0.049684  1.206061]]
1679714214.704096,[[-1.721174  0.339934  0.911925]]
1679714214.708119,[[-1.916753  0.547572  0.739217]]
1679714214.712109,[[-1.870832  0.994974  0.463289]]
1679714214.716111,[[-1.975638  1.295969  0.28603 ]]
1679714214.720081,[[-2.000837  1.751729 -0.07218 ]]
1679714214.724099,[[-2.08327   2.319633 -0.287034]]
1679714214.728087,[[-2.159832  2.621122 -0.39092 ]]
1679714214.732114,[[-2.014602  2.637908 -0.296134]]
1679714214.736122,[[-1.891562  2.260411 -0.141399]]
1679714214.740185,[[-1.844347  1.955363  0.005915]]
1679714214.74427,[[-1.608019  1.528225  0.145378]]
1679714214.748167,[[-1.444519  1.015756  0.295959]]
1679714214.752142,[[-1.211204  0.804534  0.30365 ]]
1679714214.75615,[[-0.96343   0.862793  0.223544]]
1679714214.760118,[[-0.847354  1.239884 -0.026722]]
1679714214.764118,[[-0.692139  1.409515 -0.244527]]
1679714214.768134,[[-0.661206  1.41786  -0.34992 ]]
1679714214.772191,[[-0.512876  1.542357 -0.431197]]
1679714214.776188,[[-0.470903  1.570643 -0.536412]]
1679714214.780206,[[-0.464471  2.10041  -0.583208]]
1679714214.784224,[[-0.374437  2.633233 -0.532494]]
1679714214.788201,[[-0.401413  2.736336 -0.312141]]
1679714214.792166,[[-0.354788  3.068917 -0.066654]]
1679714214.796263,[[-0.294969  3.289752  0.127131]]
1679714214.800188,[[-0.242188  3.611032  0.296047]]
1679714214.804215,[[-0.163074  4.096045  0.40032 ]]
1679714214.808587,[[0.054231 4.270327 0.438699]]
1679714214.812302,[[-0.019386  4.856733  0.527339]]
1679714214.816372,[[0.095616 5.067847 0.750769]]
1679714214.820234,[[0.184339 4.716571 0.964839]]
1679714214.824201,[[0.470566 4.512639 1.166842]]
1679714214.828277,[[0.468498 4.04137  1.309374]]
1679714214.834207,[[0.681877 3.894593 1.258738]]
1679714214.836313,[[0.736742 3.738409 1.450658]]
1679714214.840252,[[0.824118 3.142553 1.518661]]
1679714214.844239,[[0.919789 2.912702 1.556751]]
1679714214.848351,[[0.681195 2.581067 1.400743]]
1679714214.852229,[[0.804216 2.417378 1.163909]]
1679714214.856211,[[0.56574 2.70543 0.9422 ]]
1679714214.860248,[[0.416784 2.691327 0.795876]]
1679714214.864244,[[0.316451 2.989437 0.768503]]
1679714214.868224,[[2.596000e-03 2.798052e+00 6.497140e-01]]
1679714214.872446,[[-0.128149  3.077808  0.663414]]
1679714214.876254,[[-0.139531  2.91396   0.924117]]
1679714214.880283,[[-0.042862  2.362202  1.18391 ]]
1679714214.884242,[[0.228093 1.754133 1.597947]]
1679714214.888246,[[0.342435 1.027518 1.897767]]
1679714214.892271,[[0.415751 0.638033 2.100341]]
1679714214.896274,[[0.568201 0.374941 1.973638]]
1679714214.900318,[[0.567732 0.732953 1.586768]]
1679714214.904421,[[0.376908 0.891107 1.383317]]
1679714214.908312,[[0.233149 1.009164 1.117455]]
1679714214.912315,[[-0.078343  0.976806  0.934335]]
1679714214.916291,[[-0.581041  1.008132  1.072377]]
1679714214.920269,[[-0.870911  0.225081  0.918201]]
1679714214.92428,[[-1.27879   0.160544  0.866708]]
1679714214.928307,[[-1.680732  0.247182  0.722831]]
1679714214.93233,[[-1.826978  0.336639  0.757778]]
1679714214.936442,[[-1.982532  0.725825  0.710058]]
1679714214.940452,[[-2.232392  0.923846  0.630602]]
1679714214.944324,[[-2.228711  1.044418  0.561147]]
1679714214.948337,[[-2.231177  1.066376  0.462059]]
1679714214.952294,[[-2.155345  1.087652  0.377746]]
1679714214.956288,[[-1.859892  1.040669  0.396864]]
1679714214.960308,[[-1.431525  1.22379   0.256186]]
1679714214.964339,[[-1.187553  1.160329  0.282843]]
1679714214.968402,[[-0.763283  1.068953  0.25409 ]]
1679714214.972438,[[-0.513535  1.240191  0.245213]]
1679714214.976354,[[-0.215879  1.314301  0.102455]]
1679714214.980397,[[-0.015515  1.445807  0.065295]]
1679714214.984348,[[0.199443 1.503346 0.015697]]
1679714214.988328,[[0.353614 1.451934 0.073727]]
1679714214.992327,[[0.500613 1.11765  0.039831]]
1679714214.996367,[[0.563783 1.206154 0.127142]]
1679714215.000494,[[0.733262 1.328058 0.085356]]
1679714215.004381,[[0.875664 1.48412  0.088594]]
1679714215.00838,[[1.054179 1.781111 0.005472]]
1679714215.012406,[[1.236189 2.168445 0.12448 ]]
1679714215.016403,[[1.466012 2.350347 0.247604]]
1679714215.020366,[[1.611607 2.369036 0.480374]]
1679714215.024371,[[1.66854 2.40595 0.6677 ]]
1679714215.028405,[[1.70279  2.285847 0.920662]]
1679714215.032542,[[1.633031 2.487288 1.054392]]
1679714215.036568,[[1.458056 2.662007 1.193538]]
1679714215.040611,[[1.360591 2.861465 1.22247 ]]
1679714215.044492,[[1.006531 3.023517 1.226872]]
1679714215.048597,[[0.682385 3.180507 1.161989]]
1679714215.052435,[[0.375392 3.445215 1.07229 ]]
1679714215.056397,[[0.0737   3.463745 1.001796]]
1679714215.060414,[[-0.149446  3.450853  0.997979]]
1679714215.064579,[[-0.335651  3.408792  0.939938]]
1679714215.068426,[[-0.709868  3.488127  0.946182]]
1679714215.077291,[[-0.818287  2.969858  1.206751]]
1679714215.077812,[[-0.809551  2.969254  1.228213]]
1679714215.080452,[[-0.93815   2.970137  1.221521]]
1679714215.084408,[[-0.979976  2.938035  1.155   ]]
1679714215.088428,[[-1.04555   2.878778  1.126139]]
1679714215.092457,[[-1.032801  3.199012  0.983863]]
1679714215.096439,[[-1.012261  3.326916  0.995589]]
1679714215.10052,[[-0.932943  3.145932  0.97371 ]]
1679714215.104512,[[-0.765432  2.95222   1.039553]]
1679714215.108435,[[-0.719242  2.451282  1.122843]]
1679714215.112429,[[-0.478547  2.262803  1.043451]]
1679714215.116433,[[-0.372372  2.023706  1.022169]]
1679714215.120479,[[-0.171518  2.001044  0.971604]]
1679714215.124526,[[-0.099558  1.902133  0.903331]]
1679714215.129772,[[-0.010545  1.78413   0.864932]]
1679714215.132465,[[-0.054177  1.634411  0.860851]]
1679714215.136494,[[-0.089417  1.354216  0.88176 ]]
1679714215.140486,[[-0.310962  1.176894  0.820009]]
1679714215.144532,[[-0.647738  1.024363  0.852563]]
1679714215.14855,[[-0.961476  0.919787  1.028594]]
1679714215.152484,[[-1.293133  0.46571   1.28846 ]]
1679714215.156472,[[-1.553804  0.164066  1.376166]]
1679714215.160509,[[-2.096861  0.144595  1.411735]]
1679714215.164543,[[-2.4471   -0.008977  1.477311]]
1679714215.16849,[[-2.734038  0.099097  1.338399]]
1679714215.172487,[[-3.086783  0.02213   1.281101]]
1679714215.1765,[[-3.219911  0.299047  1.150351]]
1679714215.180494,[[-3.43038   0.059246  1.039669]]
1679714215.184496,[[-3.437549  0.160952  0.763736]]
1679714215.188526,[[-3.454862  0.4488    0.479918]]
1679714215.192609,[[-3.335576  0.76789   0.190871]]
1679714215.196548,[[-3.22469   1.271634 -0.13148 ]]
1679714215.201112,[[-2.958474  1.813118 -0.510905]]
1679714215.205103,[[-2.629022  2.161103 -0.775777]]
1679714215.208624,[[-2.296862  2.215724 -0.960608]]
1679714215.212623,[[-1.880626  2.148919 -1.06104 ]]
1679714215.216599,[[-1.429371  1.910212 -1.060288]]
1679714215.220661,[[-1.083271  1.834821 -1.120374]]
1679714215.224824,[[-0.669991  2.403722 -1.245855]]
1679714215.228675,[[-0.302952  2.648596 -1.325842]]
1679714215.232624,[[ 0.298393  3.01037  -1.291074]]
1679714215.236604,[[ 0.611492  3.28179  -1.149749]]
1679714215.240612,[[ 0.933933  3.253901 -1.004056]]
1679714215.244628,[[ 1.360753  2.831657 -0.670501]]
1679714215.248676,[[ 1.819008  2.672661 -0.381101]]
1679714215.252665,[[ 2.287537  2.5221   -0.090581]]
1679714215.256856,[[2.765603 2.68851  0.262895]]
1679714215.260723,[[3.065938 2.839436 0.589696]]
1679714215.264811,[[3.16229  2.973694 0.814443]]
1679714215.268773,[[3.22734  2.749974 1.251977]]
1679714215.272828,[[3.371866 2.487544 1.6804  ]]
1679714215.27665,[[3.491757 2.144145 1.989771]]
1679714215.280663,[[3.495221 1.865512 2.101151]]
1679714215.284823,[[3.326432 1.960719 1.913371]]
1679714215.288759,[[3.110728 1.9255   1.781911]]
1679714215.292812,[[2.934837 2.04015  1.47974 ]]
1679714215.296808,[[2.802517 2.120355 1.23011 ]]
1679714215.300862,[[2.593849 1.883449 0.795464]]
1679714215.304816,[[2.377707 1.69028  0.328761]]
1679714215.308758,[[ 2.170928  1.558645 -0.108583]]
1679714215.312727,[[ 1.938376  1.494155 -0.54633 ]]
1679714215.316687,[[ 1.703156  1.575974 -0.886658]]
1679714215.320869,[[ 1.434403  1.724013 -1.204741]]
1679714215.324827,[[ 1.092549  1.772556 -1.459001]]
1679714215.328741,[[ 0.795387  1.938359 -1.571451]]
1679714215.332677,[[ 0.504774  2.011929 -1.59834 ]]
1679714215.336789,[[ 0.247365  2.229159 -1.452821]]
1679714215.340729,[[ 0.034223  2.313458 -1.321463]]
1679714215.343699,[[-0.074534  2.246163 -1.097434]]
1679714215.347793,[[-0.167836  2.230311 -0.722321]]
1679714215.351909,[[-0.262066  2.182131 -0.376739]]
