1679718493.0911648,26,45,100,209,210,59,43,28
1679718493.109691,25,42,95,252,223,67,31,29
1679718493.1320128,25,33,83,237,210,64,31,29
1679718493.150072,27,34,82,254,177,61,27,26
1679718493.1692882,27,33,87,253,185,60,29,29
1679718493.186402,28,37,96,242,193,70,30,29
1679718493.2066636,26,35,90,216,170,62,28,26
1679718493.2291238,26,40,90,216,165,61,27,28
1679718493.2449791,27,39,91,214,165,56,27,29
1679718493.277593,26,38,90,225,185,66,27,26
1679718493.2894278,25,48,93,250,182,63,26,27
1679718493.311737,24,47,89,285,176,69,30,29
1679718493.326481,24,45,107,291,172,72,32,27
1679718493.3501627,24,47,116,298,187,76,35,27
1679718493.3879802,26,47,111,284,153,69,36,28
1679718493.3903747,28,35,91,285,135,67,36,28
1679718493.410025,31,35,107,241,167,59,32,26
1679718493.4313278,33,34,87,290,181,57,32,26
1679718493.4490688,34,34,75,320,170,56,29,24
1679718493.4694324,33,36,77,317,187,58,26,26
1679718493.4841948,31,34,95,304,215,55,26,25
1679718493.515151,31,35,89,317,233,58,27,26
1679718493.5294967,31,35,89,319,253,61,28,27
1679718493.5525365,29,37,116,275,269,63,28,31
1679718493.5693362,30,35,119,292,266,60,28,30
1679718493.60581,29,37,109,285,249,58,27,27
1679718493.6085052,29,35,102,262,229,60,27,29
1679718493.6427104,25,34,103,223,195,56,26,28
1679718493.6496327,30,33,77,214,180,51,28,24
1679718493.6717381,31,32,72,186,191,52,29,24
1679718493.6867943,31,31,66,194,180,52,30,25
1679718493.710317,28,35,85,264,177,51,29,23
1679718493.7392147,31,46,107,242,226,57,29,24
1679718493.762672,26,44,103,263,220,65,28,24
1679718493.777136,24,45,105,277,221,64,27,23
1679718493.8077147,25,47,108,276,241,76,27,26
1679718493.8093767,26,48,99,223,265,85,28,28
1679718493.8292704,24,43,87,222,234,82,29,26
1679718493.8514996,23,46,97,199,245,82,30,28
1679718493.8661337,25,46,97,175,239,84,32,30
1679718493.8896637,26,44,96,162,224,74,30,32
1679718493.911785,29,45,90,163,175,72,31,30
1679718493.9268115,36,39,74,141,155,72,31,34
1679718493.9513507,37,34,59,124,170,64,31,33
1679718493.9717627,36,36,72,137,178,62,32,31
1679718493.9868343,35,38,103,202,198,65,35,29
1679718494.0176835,34,55,168,252,222,56,35,32
1679718494.0318594,29,58,186,291,239,57,35,32
1679718494.0468948,32,60,192,303,225,57,35,32
1679718494.0694284,33,60,186,304,208,58,37,35
1679718494.0918324,42,61,171,277,180,52,35,37
1679718494.1089528,45,43,107,217,161,48,35,35
1679718494.1294255,44,38,72,163,170,54,34,34
1679718494.1603162,45,41,56,143,152,54,33,33
1679718494.1667259,44,38,59,166,177,53,29,32
1679718494.1979518,41,35,54,141,193,62,29,30
1679718494.2117248,39,35,57,188,192,61,29,30
1679718494.2289996,39,35,65,247,164,53,26,30
1679718494.2501938,36,29,72,362,179,56,26,33
1679718494.2800906,36,32,71,368,167,63,28,31
1679718494.2957833,29,32,71,376,172,63,27,32
1679718494.3356662,30,32,72,365,178,74,25,32
1679718494.3382573,28,32,65,334,188,77,27,30
1679718494.3487685,32,35,72,214,183,82,28,26
1679718494.3775241,32,32,86,186,198,83,28,26
1679718494.4002137,31,33,88,178,179,78,27,24
1679718494.4227424,28,33,89,185,181,74,30,26
1679718494.4290826,29,34,92,179,169,70,29,26
1679718494.4517438,25,31,82,184,171,64,29,27
1679718494.4667735,24,30,61,180,135,50,26,26
1679718494.497663,26,31,64,186,139,56,26,27
1679718494.520122,26,31,63,160,120,48,26,25
1679718494.5266752,26,31,66,164,129,49,26,27
1679718494.557488,26,30,64,150,137,46,29,28
1679718494.5717847,27,36,71,176,139,49,31,29
1679718494.5941882,25,36,66,176,145,45,33,27
1679718494.6114647,25,36,57,172,150,45,32,28
1679718494.6318533,26,34,53,195,179,47,33,26
1679718494.6545384,25,35,54,200,163,48,31,26
1679718494.6715398,25,29,49,188,184,49,29,27
1679718494.7076402,24,28,49,197,186,50,26,27
1679718494.714241,25,27,53,220,176,50,28,27
1679718494.729481,23,28,51,211,158,48,27,28
1679718494.7517745,24,28,55,218,157,45,26,26
1679718494.7743132,29,31,51,215,133,43,28,27
1679718494.7893867,33,30,56,216,109,39,28,25
1679718494.811243,37,33,54,210,108,35,26,28
1679718494.835001,39,36,52,239,77,30,24,28
1679718494.851996,39,36,55,294,70,30,28,29
